119,Javio Garrido,,Manchester City,,Lazio,2750000,30/07/10
120,David James,,Portsmouth,,Bristol City,Free,30/07/10
121,Sol Campbell,,Unattached,,Newcastle United,Free,28/07/10
122,Tarmo Kink,,Gyori Eto,,Middlesborough,undisclosed,28/07/10
123,Ibrahima Sonko,,Stoke City,,Portsmouth,2000000,27/07/10
124,Marcos Alonso,,Real Madrid,,Bolton Wanderers,2000000,27/07/10
125,Lucas Jutkiewicz,,Everton,,Coventry City,200000,26/07/10
126,Thomas Hitzlsperger,,Lazio,,West Ham,Free,25/07/10
127,Albert Riera,,Liverpool,,Olympiakos,5000000,24/07/10
128,Aleksandar Kolarov,,Lazio,,Manchester City,17000000,24/07/10
129,Titus Bramble,,Wigan Athletic,,Sunderland,1000000,23/07/10
130,Lee Carsley,,Birmingham,,Coventry City,Free,23/07/10
131,Antolín Alcaraz,,Unattached,,Wigan Athletic,Free,22/07/10
132,Dan Gosling,,Unattached,,Newcastle United,Free,22/07/10
133,Luca Moscatiello,,Fulham,,Cesena,Free,22/07/10
134,Danny Wilson,,Rangers,,Liverpool,2000000,21/07/10
135,Eduardo,,Arsenal,,Shakhtar Donetsk,6000000,21/07/10
136,Joe Cole,,Unattached,,Liverpool,Free,21/07/10
137,Daryl Murphy,,Sunderland,,Celtic,1300000,16/07/10
138,Pablo Barrera,,UNAM,,West Ham United,4000000,16/07/10
139,Kevin Thomson,,Rangers,,Middlesbrough,2000000,16/07/10
140,David Gray,,Manchester United,,Preston North End,Free,16/07/10
141,Conor Hourihane,,Sunderland,,Ipswich Town,Undisclosed,16/07/10
142,Frederic Piquionne,,Lyon,,West Ham United,Undisclosed,16/07/10
143,David Silva,,Valencia,,Manchester City,25000000,14/07/10
144,Stephen McManus,,Celtic,,Middlesbrough,1500000,13/07/10
145,James Harper,,Sheffield United,,Hull City,Free,12/07/10
146,Nolberto Solano,,Leicester City,,Hull City,Free,12/07/10
147,Miroslav  Stoch,,Chelsea,,Fenerbache,2500000,10/07/10
148,Nadir Belhadj,,Portsmouth,,Al Sadd,3500000,09/07/10
149,Lloyd Sam,,Unattached,,Leeds United,Signed,09/07/10
150,Lorik Cana,,Sunderland,,Galatasaray,5000000,08/07/10
151,Milan Jovanovic,,Standard Liege,,Liverpool,Free,08/07/10
152,Filip Mentel,,Manchester City,,Dundee United,Free,08/07/10
153,Florent Cuvelier,,Portsmouth,,Stoke City,Undisclosed,08/07/10
154,Nick Bailey,,Charlton Athletic,,Middlesbrough,1400000,07/07/10
155,Laurent Koscielny,,Lorient,,Arsenal,10000000,07/07/10
156,Leonard Sowah,,Portsmouth,,Hamburg SV,Free,07/07/10
157,Neill Collins,,Preston North End,,Leeds United,Undisclosed,07/07/10
158,Andy Haworth,,Blackburn Rovers,,Bury,Free,06/07/10
159,James Perch,,Nottingham Forest,,Newcastle United,1000000,05/07/10
160,Kris Boyd,,Unattached,,Middlesbrough,Free,05/07/10
161,John Ruddy,,Everton,,Norwich City,Undisclosed,05/07/10
162,Valeri Bojinov,,Manchester City,,Parma,5000000,04/07/10
163,Yossi Benayoun,,Liverpool,,Chelsea,5000000,02/07/10
164,Yaya Touré,,Barcelona,,Manchester City,24000000,02/07/10
165,Steve Simonsen,,Stoke City,,Sheffield United,Free,02/07/10
166,Ben Burgess,,Blackpool,,Notts County,Free,02/07/10
167,Alex Henshall ,,Swindon Town,,Manchester City,250000,01/07/10
168,Marnick Vermijl ,,Standard Leige,,Manchester United,300000,01/07/10
169,Jason Shackell ,,Wolverhampton Wanderers,,Barnsley,300000,01/07/10
170,Joao Silva ,,Desportivo Aves,,Everton,500000,01/07/10
171,Chris Iwelumo ,,Wolverhampton Wanderers,,Burnley,500000,01/07/10
172,Dean Marney,,Hull City,,Burnley,500000,01/07/10
173,Dean Marney,,Hull City,,Burnley,500000,01/07/10
174,Kyle Ebecillo,,Feyenoord,,Arsenal,500000,01/07/10
175,Magaye Guaye,,Strasbourg,,Everton,1000000,01/07/10
176,Jonjo Shelvey ,,Charlton Athletic,,Liverpool,1700000,01/07/10
177,Simon Mignolet ,,Sint-Truiden,,Sunderland,2000000,01/07/10
178,Steven Mouyokolo ,,Hull City,,Wolves,2500000,01/07/10
179,Jelle van Damme ,,Anderlect,,Wolves,2500000,01/07/10
180,Steven Mouyokolo,,Hull City,,Wolverhampton Wanderers,2500000,01/07/10
181,Stephen Hunt ,,Hull City,,Wolves,3000000,01/07/10
182,Stephen Hunt,,Hull City,,Wolverhampton Wanderers,3000000,01/07/10
183,Sandro Raniere,,Internacional,,Tottenham Hotspur,6000000,01/07/10
184,Javier Hernández Balcazar,,Guadalajara,,Manchester United,6000000,01/07/10
185,Ben Foster,,Manchester United,,Bermingham City,6000000,01/07/10
186,Steven Fletcher ,,Burnley,,Wolves,6500000,01/07/10
187,Stephen Fletcher,,Burnley,,Wolverhampton wanderers,6500000,01/07/10
188,Mauro Boselli,,Estudiantes LP,,Wigan,6500000,01/07/10
189,Zoran Tosic,,Manchester United,,CSKA  Moscow,7000000,01/07/10
190,Chris Smalling,,Fulham,,Manchester United,10000000,01/07/10
191,Jerome Boateng,,Hamburg SV,,Manchester City,11000000,01/07/10
192,Luke Ayling,,Arsenal,,Yeovil Town,Free,01/07/10
193,Antolin Alcaraz,,Club Brugge,,Wigan,Free,01/07/10
194,Thomas Hitzlsperger,,Lazio,,West Ham,Free,01/07/10
195,Steven Reid,,Blackburn Rovers,,West Bromwich Albion,Free,01/07/10
196,Pablo Ibañez,,Atlético Madrid,,West Bromwich Albion,Free,01/07/10
197,Mario Melchiot,,Wigan Athletic,,Umim Salil,Free,01/07/10
198,Cristian Riveros,,Cruz Azul,,Sunderland,Free,01/07/10
199,Daniel Jones,,Wolverhampton Wanderers,,Sheffield Wednesday,Free,01/07/10
200,Christian Benetiz,,Birmingham,,Santos Laguna,Free,01/07/10
201,Marcus Marshall ,,Blackburn Rovers,,Rotherham,Free,01/07/10
202,Bondz N'Gala,,West Ham,,Plymouth Argyle,Free,01/07/10
203,Nathaniel Mendez-Laing,,Wolverhampton Wanderers,,Peterborough United,Free,01/07/10
204,Mark Little ,,Wolverhampton Wanderers,,Peterborough United,Free,01/07/10
205,Seth Ofori-Twumasi,,Chelsea,,Peterborough United,Free,01/07/10
206,Nathaniel Wedderburn,,Stoke City,,Northampton Town,Free,01/07/10
207,David Martin,,Liverpool,,Milton Keynes Dons,Free,01/07/10
208,Lee Butcher,,Tottenham Hotspur,,Leyton Orient,Free,01/07/10
209,Billy Paynter,,Swindon Town,,Leeds United,Free,01/07/10
210,Paul Connolly,,Derby County,,Leeds United,Free,01/07/10
211,Joey K Gudjonsson,,Burnley,,Huddersfield Town,Free,01/07/10
212,Ron-Robert Zieler,,Manchester United,,Hannover 96,Free,01/07/10
213,Phillip Senderos,,Arsenal,,Fulham,Free,01/07/10
214,Jan Mucha,,Legia Warsaw,,Everton,Free,01/07/10
215,Jermaine Beckford ,,Leeds,,Everton,Free,01/07/10
216,George Friend ,,Wolverhampton Wanderers,,Doncaster Rovers,Free,01/07/10
217,Tomasz Cywka,,Wigan Athletic,,Derby County,Free,01/07/10
218,Jamie Chandler,,Sunderland,,Darlington,Free,01/07/10
219,Roy O'Donovan,,Sunderland,,Coventry City,Free,01/07/10
220,Gary McSheffrey,,Birmingham,,Coventry City,Free,01/07/10
221,Stephen O'Halloran,,Aston Villa,,Coventry City,Free,01/07/10
222,Tom Heaton,,Manchester United,,Cardiff City,Free,01/07/10
223,Robbie Threlfall ,,Liverpool,,Bradford City,Free,01/07/10
224,Martin Petrov,,Manchester City,,Bolton Wanderers,Free,01/07/10
225,Robbie Blake,,Burnley,,Bolton Wanderers,Free,01/07/10
226,Enric Vallès,,NAC Breda,,Birmingham,Free,01/07/10
227,Sam Cox,,Tottenham Hotspur,,Barnet,Free,01/07/10
228,Fran Meirda,,Arsenal,,Atletico Madrid,Free,01/07/10
229,Marouane Chamakh,,Bordeaux,,Arsenal,Free,01/07/10
230,Michael Hall ,,Blackburn Rovers,,Accrington Stanley,Free,01/07/10
231,Erik Nevland ,,Fulham,,Viking,Free      ,01/07/10
232,Elliot Omozusi ,,Fulham,,Leyton Orient,Free      ,01/07/10
233,Stefan Payne ,,Fulham,,Gillingham,Free      ,01/07/10
234,Wayne Brown ,,Fulham,,Bristol Rovers,Free      ,01/07/10
235,Andy Griffin,,Stoke City,,Reading,Nominal,01/07/10
236,Michael Ballack,,Chelsea,,Bayer Leverkusen,Released,01/07/10
237,Guillermo Franco,,West Ham,, ,Released,01/07/10
238,Amdy Faye ,,Stoke City,, ,Released,01/07/10
239,Andrew Mitchell ,,Manchester City,, ,Released,01/07/10
240,Benjani Mwaruwari ,,Manchester City,, ,Released,01/07/10
241,Sylvinho ,,Manchester City,, ,Released,01/07/10
242,Christopher Oldfield ,,Liverpool,, ,Released,01/07/10
243,Juliano Belletti ,,Chelsea,, ,Released,01/07/10
244,Joe Cole ,,Chelsea,, ,Released,01/07/10
245,Franck Queudrue ,,Birmingham,, ,Released,01/07/10
246,Teemu Tainio ,,Birmingham,, ,Released,01/07/10
247,Gregory Vignal ,,Birmingham,, ,Released,01/07/10
248,Jared Wilson ,,Birmingham,, ,Released,01/07/10
249,Wilfred Bouma,,Aston Villa,, ,Released,01/07/10
250,Marlon Harewood,,Aston Villa,, ,Released,01/07/10
251,Lloyd Sam,,Charlton Athletic,,Leeds United,Signed,01/07/10
252,Gabriel Sebastian Tamas,,AJ Auxerre,,West Bromwich Albion,Undisclosed,01/07/10
253,Andrew Surman,,Wolverhampton Wanderers,,Norwich City,Undisclosed,01/07/10
254,Jonathan Greening,,West Bromwich Albion,,Fulham,undisclosed,01/07/10
255,Mikel San Jose,,Liverpool,,Athletico Bilbao,Undisclosed,01/07/10
