season,transfer_window,player_name,league_moving_from,club_moving_from,league_moving_to,clusb_moving_to,fee,date
2013-2014,Winter,Abdul Razak,Premier,Manchester City,NoneEPLChamp,Anzhi Makhachkala,Undisclosed,01/01/14
2013-2014,Winter,Rudy Gestede,Premier,Cardiff City,Championship,Blackburn Rovers,Undisclosed,01/01/14
2013-2014,Winter,Tom Cairney,Premier,Hull City,Championship,Blackburn Rovers,500000,01/01/14
2013-2014,Winter,Simon Dawkins,Premier,Tottenham Hotspur,Championship,Derby County,500000,01/01/14
2013-2014,Winter,Liam Ridehalgh,Championship,Huddersfield Town,NoneEPLChamp,Tranmere Rovers,Undisclosed,01/01/14
2013-2014,Winter,Adam Morgan,Premier,Liverpool,Championship,Yeovil Town,Free,01/01/14
2013-2014,Winter,Karleigh Osborne,Championship,Millwall,NoneEPLChamp,Bristol City,Undisclosed,02/01/14
2013-2014,Winter,George Barker,Championship,Brighton & Hove Albion,NoneEPLChamp,Swindon Town,Undisclosed,02/01/14
2013-2014,Winter,Lee Camp,Premier,West Bromwich Albion,NoneEPLChamp,AFC Bournemouth,Free,03/01/14
2013-2014,Winter,Magnus Eikrem,NoneEPLChamp,Heerenveen,Premier,Cardiff City,2000000,03/01/14
2013-2014,Winter,Michael Jacobs,Championship,Derby County,NoneEPLChamp,Wolverhampton Wanderers,300000,03/01/14
2013-2014,Winter,Jason Banton,Premier,Crystal Palace,NoneEPLChamp,Plymouth Argyle,Undisclosed,04/01/14
2013-2014,Winter,Abdoulaye Meite,NoneEPLChamp,Unattached,Championship,Doncaster Rovers,Free,07/01/14
2013-2014,Winter,Scott Wiseman,Championship,Barnsley,NoneEPLChamp,Preston North End,Free,07/01/14
2013-2014,Winter,Nahki Wells,NoneEPLChamp,Bradford City,Championship,Huddersfield Town,1500000,08/01/14
2013-2014,Winter,Gary Fraser,Championship,Bolton Wanderers,NoneEPLChamp,Partick Thistle,Free,08/01/14
2013-2014,Winter,Patrick Madden,Championship,Yeovil Town,NoneEPLChamp,Scunthorpe United,300000,08/01/14
2013-2014,Winter,Dave Syers,Championship,Doncaster Rovers,NoneEPLChamp,Scunthorpe United,50000,09/01/14
2013-2014,Winter,Ashley Barnes,Championship,Brighton & Hove Albion,Championship,Burnley,750000,10/01/14
2013-2014,Winter,Robbie McIntyre,Championship,Huddersfield Town,NoneEPLChamp,Bury,Free,10/01/14
2013-2014,Winter,Mats Daehli,NoneEPLChamp,Molde,Premier,Cardiff City,1000000,10/01/14
2013-2014,Winter,Aiden McGeady,NoneEPLChamp,Spartak Moscow,Premier,Everton,2500000,10/01/14
2013-2014,Winter,Riyad Mahrez,NoneEPLChamp,Le Havre AC,Championship,Leicester City,750000,10/01/14
2013-2014,Winter,Oguchi Onyewu,NoneEPLChamp,Unattached,Championship,Sheffield Wednesday,Free,10/01/14
2013-2014,Winter,Brian Howard,NoneEPLChamp,Unattached,Championship,Birmingham City,Free,11/01/14
2013-2014,Winter,Jeffrey Monakana,NoneEPLChamp,Preston North End,Championship,Brighton & Hove Albion,Undisclosed,11/01/14
2013-2014,Winter,Wesley Thomas,NoneEPLChamp,AFC Bournemouth,NoneEPLChamp,Rotherham United,Undisclosed,11/01/14
2013-2014,Winter,Stephen Ireland,Premier,Aston Villa,Premier,Stoke City,Free,11/01/14
2013-2014,Winter,Nouha Dicko,Championship,Wigan Athletic,NoneEPLChamp,Wolverhampton Wanderers,300000,11/01/14
2013-2014,Winter,Daniel Seaborne,Championship,Yeovil Town,NoneEPLChamp,Coventry City,Free,13/01/14
2013-2014,Winter,Nemanja Matic,NoneEPLChamp,Benfica,Premier,Chelsea,20750000,14/01/14
2013-2014,Winter,Joe Lolley,NoneEPLChamp,Kidderminster Harriers,Championship,Huddersfield Town,250000,14/01/14
2013-2014,Winter,Nikica Jelavic,Premier,Everton,Premier,Hull City,6500000,14/01/14
2013-2014,Winter,Kevin Phillips,NoneEPLChamp,Unattached,Championship,Leicester City,Free,14/01/14
2013-2014,Winter,Wes Fogden,NoneEPLChamp,AFC Bournemouth,NoneEPLChamp,Portsmouth,Free,14/01/14
2013-2014,Winter,Liam Lawrence,NoneEPLChamp,Unattached,Championship,Barnsley,Free,15/01/14
2013-2014,Winter,Aaron Mclean,Premier,Hull City,NoneEPLChamp,Bradford City,Undisclosed,15/01/14
2013-2014,Winter,Jim McNulty,Championship,Barnsley,NoneEPLChamp,Bury,Free,15/01/14
2013-2014,Winter,Gabriel Tamas,NoneEPLChamp,Unattached,Championship,Doncaster Rovers,Free,15/01/14
2013-2014,Winter,Ji Dong-Won,Premier,Sunderland,NoneEPLChamp,FC Augsburg,Undisclosed,15/01/14
2013-2014,Winter,David Perkins,Championship,Barnsley,Championship,Blackpool,Free,16/01/14
2013-2014,Winter,Shane Long,Premier,West Bromwich Albion,Premier,Hull City,7000000,16/01/14
2013-2014,Winter,Matthew Parsons,Premier,Crystal Palace,NoneEPLChamp,Plymouth Argyle,Undisclosed,16/01/14
2013-2014,Winter,Sam Walker,Premier,Chelsea,NoneEPLChamp,Colchester United,Undisclosed,17/01/14
2013-2014,Winter,Sondre Tronstad,NoneEPLChamp,IK Start,Championship,Huddersfield Town,Free,17/01/14
2013-2014,Winter,Harry Bunn,Premier,Manchester City,Championship,Huddersfield Town,Free,17/01/14
2013-2014,Winter,Juan Agudelo,NoneEPLChamp,Chivas USA,Premier,Stoke City,Undisclosed,17/01/14
2013-2014,Winter,Kevin De Bruyne,Premier,Chelsea,NoneEPLChamp,VfL Wolfsburg,17000000,17/01/14
2013-2014,Winter,Jason Scotland,Championship,Barnsley,NoneEPLChamp,Hamilton Academical,Free,18/01/14
2013-2014,Winter,Elliot Kebbie,NoneEPLChamp,Unattached,Premier,Hull City,Free,20/01/14
2013-2014,Winter,Anthony Jeffrey,Premier,Arsenal,NoneEPLChamp,Wycombe Wanderers,Free,20/01/14
2013-2014,Winter,Michael Smith,NoneEPLChamp,Swindon Town,Championship,Charlton Athletic,100000,21/01/14
2013-2014,Winter,Kelle Roos,NoneEPLChamp,Nuneaton Town,Championship,Derby County,30000,21/01/14
2013-2014,Winter,Fabio Nunes,Championship,Blackburn Rovers,NoneEPLChamp,Latina,Free,22/01/14
2013-2014,Winter,Jo Inge Berget,NoneEPLChamp,Molde,Premier,Cardiff City,Undisclosed,23/01/14
2013-2014,Winter,Edinho Junior,Championship,Blackburn Rovers,NoneEPLChamp,Harrisburg City Islanders,Free,23/01/14
2013-2014,Winter,Daniel Ayala,Premier,Norwich City,Championship,Middlesbrough,700000,23/01/14
2013-2014,Winter,Steven Scougall,NoneEPLChamp,Livingston,NoneEPLChamp,Sheffield United,Undisclosed,23/01/14
2013-2014,Winter,Juan Mata,Premier,Chelsea,Premier,Manchester United,37100000,25/01/14
2013-2014,Winter,Mohamed Salah,NoneEPLChamp,FC Basel,Premier,Chelsea,11000000,26/01/14
2013-2014,Winter,Michael Essien,Premier,Chelsea,NoneEPLChamp,AC Milan,Free,27/01/14
2013-2014,Winter,Nicholas Yennaris,Premier,Arsenal,NoneEPLChamp,Brentford,Undisclosed,27/01/14
2013-2014,Winter,David Ngog,Championship,Bolton Wanderers,Premier,Swansea City,Undisclosed,27/01/14
2013-2014,Winter,Adam Smith,Premier,Tottenham Hotspur,NoneEPLChamp,AFC Bournemouth,250000,28/01/14
2013-2014,Winter,Kenwyne Jones,Premier,Stoke City,Premier,Cardiff City,Swap,28/01/14
2013-2014,Winter,Pelly Ruddock,Premier,West Ham United,NoneEPLChamp,Luton Town,Undisclosed,28/01/14
2013-2014,Winter,Peter Odemwingie,Premier,Cardiff City,Premier,Stoke City,Swap,28/01/14
2013-2014,Winter,Adam King,NoneEPLChamp,Heart of Midlothian,Premier,Swansea City,150000,28/01/14
2013-2014,Winter,Germaine Defoe,Premier,Tottenham Hotspur,NoneEPLChamp,Vancouver,6000000,28/01/14
2013-2014,Winter,Josh OHanlon,NoneEPLChamp,Longford Town,NoneEPLChamp,AFC Bournemouth,Undisclosed,29/01/14
2013-2014,Winter,Loic Nego,NoneEPLChamp,Ujpest,Championship,Charlton Athletic,Undisclosed,29/01/14
2013-2014,Winter,Rafik Djebbour,NoneEPLChamp,Olympiakos,Championship,Nottingham Forest,1200000,29/01/14
2013-2014,Winter,Yohan Cabaye,Premier,Newcastle United,NoneEPLChamp,Paris Saint-Germain,20000000,29/01/14
2013-2014,Winter,Aaron Martin,NoneEPLChamp,Unattached,Championship,Birmingham City,Free,30/01/14
2013-2014,Winter,Reza Ghoochannejhad,NoneEPLChamp,Standard Liege,Championship,Charlton Athletic,Undisclosed,30/01/14
2013-2014,Winter,Ignacio Scocco,NoneEPLChamp,Internacional,Premier,Sunderland,3000000,30/01/14
2013-2014,Winter,Raheem Hanley,NoneEPLChamp,Unattached,Premier,Swansea City,Free,30/01/14
2013-2014,Winter,Abdul Razak,NoneEPLChamp,Anzhi Makhachkala,Premier,West Ham United,Free,30/01/14
2013-2014,Winter,Yann Kermorgant,Championship,Charlton Athletic,NoneEPLChamp,AFC Bournemouth,500000,31/01/14
2013-2014,Winter,Ben Whitfield,NoneEPLChamp,Guiseley,NoneEPLChamp,AFC Bournemouth,Free,31/01/14
2013-2014,Winter,Martin Woods,NoneEPLChamp,Unattached,Championship,Barnsley,Free,31/01/14
2013-2014,Winter,Craig Conway,Premier,Cardiff City,Championship,Blackburn Rovers,Undisclosed,31/01/14
2013-2014,Winter,Faris Haroun,Championship,Middlesbrough,Championship,Blackpool,Free,31/01/14
2013-2014,Winter,Yannick Bastos,NoneEPLChamp,FC Differdange,Championship,Bolton Wanderers,Undisclosed,31/01/14
2013-2014,Winter,James Tarkowski,NoneEPLChamp,Oldham Athletic,NoneEPLChamp,Brentford,400000,31/01/14
2013-2014,Winter,David Rodriguez,NoneEPLChamp,Celta Vigo,Championship,Brighton & Hove Albion,Free,31/01/14
2013-2014,Winter,Fabio,Premier,Manchester United,Premier,Cardiff City,Minimal,31/01/14
2013-2014,Winter,Leigh Griffiths,NoneEPLChamp,Wolverhampton Wanderers,NoneEPLChamp,Celtic,1000000,31/01/14
2013-2014,Winter,Emmanuel Frimpong,Premier,Arsenal,Championship,Charlton Athletic,Undisclosed,31/01/14
2013-2014,Winter,Piotr Parzyszek,NoneEPLChamp,De Graafschap,Championship,Charlton Athletic,Undisclosed,31/01/14
2013-2014,Winter,Kurt Zouma,NoneEPLChamp,St Etienne,Premier,Chelsea,12500000,31/01/14
2013-2014,Winter,Scott Dann,Championship,Blackburn Rovers,Premier,Crystal Palace,1500000,31/01/14
2013-2014,Winter,Joe Ledley,NoneEPLChamp,Celtic,Premier,Crystal Palace,700000,31/01/14
2013-2014,Winter,Jason Puncheon,Premier,Southampton,Premier,Crystal Palace,1750000,31/01/14
2013-2014,Winter,Wayne Hennessey,NoneEPLChamp,Wolverhampton Wanderers,Premier,Crystal Palace,1750000,31/01/14
2013-2014,Winter,Jindrich Stanek,NoneEPLChamp,Sparta Prague,Premier,Everton,Undisclosed,31/01/14
2013-2014,Winter,Andreas Cornelius,Premier,Cardiff City,NoneEPLChamp,FC Copenhagen,3000000,31/01/14
2013-2014,Winter,John Heitinga,Premier,Everton,Premier,Fulham,Free,31/01/14
2013-2014,Winter,Kostas Mitroglou,NoneEPLChamp,Olympiakos,Premier,Fulham,12400000,31/01/14
2013-2014,Winter,Marvyn Bartley,Championship,Burnley,NoneEPLChamp,Leyton Orient,350000,31/01/14
2013-2014,Winter,Ben Alnwick,Championship,Charlton Athletic,NoneEPLChamp,Leyton Orient,Undisclosed,31/01/14
2013-2014,Winter,Edward Upson,Championship,Yeovil Town,Championship,Millwall,100000,31/01/14
2013-2014,Winter,Jack Hobbs,Premier,Hull City,Championship,Nottingham Forest,600000,31/01/14
2013-2014,Winter,George Porter,Championship,Burnley,NoneEPLChamp,Rochdale,Free,31/01/14
2013-2014,Winter,Liam Bridcutt,Championship,Brighton & Hove Albion,Premier,Sunderland,3000000,31/01/14
2013-2014,Winter,Jay Fulton,NoneEPLChamp,Falkirk,Premier,Swansea City,200000,31/01/14
2013-2014,Winter,Philippe Senderos,Premier,Fulham,NoneEPLChamp,Valencia,Undisclosed,31/01/14
2013-2014,Winter,Dave Richards,Premier,Cardiff City,NoneEPLChamp,Bristol City,Undisclosed,31/01/14
2013-2014,Winter,James Burke,Championship,Huddersfield Town,NoneEPLChamp,Bury,Free,31/01/14
2013-2014,Winter,Bertrand Traore,NoneEPLChamp,Association Jeunes Espoirs De Bobo-Dioulasso,Premier,Chelsea,Free,31/01/14
2013-2014,Winter,Jaanai Gordon,NoneEPLChamp,Peterborough United,Premier,West Ham United,3500000,31/01/14
2013-2014,Winter,James Henry,Championship,Millwall,NoneEPLChamp,Wolverhampton Wanderers,250000,31/01/14
2013-2014,Summer,Isaiah Brown,NoneEPLChamp,WBA,Premier,Chelsea,209000,08/07/13
2013-2014,Summer,Nathan Tyson,Championship,Derby County,Championship,Blackpool,Free,02/09/13
2013-2014,Summer,Stephane Sessegnon,Premier,Sunderland,NoneEPLChamp,WBA,6000000,02/09/13
2013-2014,Summer,Kei Kamara,NoneEPLChamp,Kansas City,Championship,Middlesbrough,900000,02/09/13
2013-2014,Summer,Jacob Butterfield,Premier,Norwich City,Championship,Middlesbrough,Undisclosed,02/09/13
2013-2014,Summer,Massimo Luongo,Premier,Tottenham Hotspur,NoneEPLChamp,Swindon,400000,02/09/13
2013-2014,Summer,James Mc Carthy,NoneEPLChamp,Wigan,Premier,Everton,13000000,02/09/13
2013-2014,Summer,Victor Anichbe,Premier,Everton,NoneEPLChamp,WBA,6000000,02/09/13
2013-2014,Summer,Elsad Zverotic,NoneEPLChamp,Young Boys,Premier,Fulham,Undisclosed,02/09/13
2013-2014,Summer,Marouane Fellaini,Premier,Everton,Premier,Manchester United,27500000,02/09/13
2013-2014,Summer,Mesut  Ozil,NoneEPLChamp,Real Madrid,Premier,Arsenal,42500000,02/09/13
2013-2014,Summer,Adrian Mariappa,Championship,Reading,Premier,Crystal Palace,3000000,02/09/13
2013-2014,Summer,Barry Bannan,Premier,Aston Villa,Premier,Crystal Palace,2000000,02/09/13
2013-2014,Summer,Libor Kozak,NoneEPLChamp,Lazio,Premier,Aston Villa,5000000,02/09/13
2013-2014,Summer,Paul Caddis,NoneEPLChamp,Swindon Town,Championship,Birmingham City,150000,02/09/13
2013-2014,Summer,Peter Odemwingie,Premier,West Bromwich Albion,Premier,Cardiff City,2500000,02/09/13
2013-2014,Summer,Brian Jensen,Championship,Burnley,NoneEPLChamp,Bury,Free,02/09/13
2013-2014,Summer,Florent Cuvelier,Premier,Stoke City,NoneEPLChamp,Sheffield United,Undisclosed,02/09/13
2013-2014,Summer,Jack Hunt,Championship,Huddersfield Town,Premier,Crystal Palace,2000000,02/09/13
2013-2014,Summer,Dani Pacheco,Premier,Liverpool,NoneEPLChamp,AD Alcorcon,Free,02/09/13
2013-2014,Summer,Dany N'Guessan,Championship,Millwall,NoneEPLChamp,Swindon Town,Free,02/09/13
2013-2014,Summer,Lee Camp,Premier,Norwich City,Premier,West Bromwich Albion,Free,02/09/13
2013-2014,Summer,Mamadou Sakho,NoneEPLChamp,Paris Saint-Germain ,Premier,Liverpool,18000000,02/09/13
2013-2014,Summer,Marko Arnautovic,NoneEPLChamp,Werder Bremen,Premier,Stoke City,2000000,02/09/13
2013-2014,Summer,Tiago Ilori,NoneEPLChamp,Sporting Lisbon,Premier,Liverpool,7000000,02/09/13
2013-2014,Summer,Christian Atsu,NoneEPLChamp,FC Porto,Premier,Chelsea,3500000,01/09/13
2013-2014,Summer,Gareth Bale,Premier,Tottenham Hotspur,NoneEPLChamp,Real Madrid,85300000,01/09/13
2013-2014,Summer,Jimmy Kebe,Championship,Reading,Premier,Crystal Palace,750000,01/09/13
2013-2014,Summer,Martin Demichelis,NoneEPLChamp,Atletico Madrid,Premier,Manchester City,3500000,01/09/13
2013-2014,Summer,Kevin Theopile Catherine,NoneEPLChamp,Stade Rennes,Premier,Cardiff City,2100000,30/08/13
2013-2014,Summer,Gael Givet,Championship,Blackburn Rovers,NoneEPLChamp,Arles,Free,30/08/13
2013-2014,Summer,Maximiliano Amondarain,NoneEPLChamp,Progreso,Premier,Cardiff City,Free,30/08/13
2013-2014,Summer,Dean Hammond,Premier,Southampton,Championship,Leicester City,Undisclosed,30/08/13
2013-2014,Summer,Christian Eriksen,NoneEPLChamp,Ajax Amsterdam,Premier,Tottenham Hotspur,11000000,30/08/13
2013-2014,Summer,Erik Lamela,NoneEPLChamp,AS Roma,Premier,Tottenham Hotspur,25800000,30/08/13
2013-2014,Summer,Vlad Chiriches,NoneEPLChamp,FC Steaua Bucharest,Premier,Tottenham Hotspur,8500000,30/08/13
2013-2014,Summer,Scott Golbourne,Championship,Barnsley,NoneEPLChamp,Wolverhampton Wanderers,700000,30/08/13
2013-2014,Summer,Samuel Eto'o,NoneEPLChamp,Anzhi Makhachkala,Premier,Chelsea,Free,29/08/13
2013-2014,Summer,Mathieu Flamini,NoneEPLChamp,AC Milan,Premier,Arsenal,Free,29/08/13
2013-2014,Summer,Morten Gamst Pedersen,Championship,Blackburn Rovers,NoneEPLChamp,Karabukspor,Free,29/08/13
2013-2014,Summer,Willian,NoneEPLChamp,Anzhi Makhachkala,Premier,Chelsea,30000000,28/08/13
2013-2014,Summer,Tokelo Rantie,NoneEPLChamp,Malmo FF,NoneEPLChamp,AFC Bournemouth,2600000,28/08/13
2013-2014,Summer,Dwight Tiendalli,NoneEPLChamp,Unattached,Premier,Swansea City,Free,28/08/13
2013-2014,Summer,Ben Wilson,Premier,Sunderland,NoneEPLChamp,Accrington Stanley,Free,27/08/13
2013-2014,Summer,Luke Moore,Premier,Swansea City,NoneEPLChamp,Elazipspor,Free,24/08/13
2013-2014,Summer,Matthew Phillips,Championship,Blackpool,Championship,QPR,5000000,23/08/13
2013-2014,Summer,Brad Inman,Premier,Newcastle United,NoneEPLChamp,Crewe Alexandra,100000,22/08/13
2013-2014,Summer,Charalampos Mavrias,NoneEPLChamp,Panathinaikos,Premier,Sunderland,2500000,22/08/13
2013-2014,Summer,Denis Suarez,Premier,Manchester City,NoneEPLChamp,Barcelona,1000000,22/08/13
2013-2014,Summer,Patrick McCourt,NoneEPLChamp,Unattached,Championship,Barnsley,Free,22/08/13
2013-2014,Summer,Scott Wootton,Premier,Manchester United,Championship,Leeds United,1000000,20/08/13
2013-2014,Summer,Jordan Adekunle,NoneEPLChamp,Unattached,Championship,Ipswich Town,Free,20/08/13
2013-2014,Summer,Scott Parker,Premier,Tottenham Hotspur,Premier,Fulham,2000000,18/08/13
2013-2014,Summer,Pablo Daniel Osvaldo,NoneEPLChamp,AS Roma,Premier,Southampton,15000000,18/08/13
2013-2014,Summer,Aaron Tumwa,Championship,Watford,Championship,Blackburn Rovers,Free,18/08/13
2013-2014,Summer,Chris Dunn,NoneEPLChamp,Unattached,Championship,Yeovil Town,Free,17/08/13
2013-2014,Summer,Florian Marange,NoneEPLChamp,Unattached,Premier,Crystal Palace,Free,16/08/13
2013-2014,Summer,Etienne Capoue,NoneEPLChamp,Toulouse,Premier,Tottenham Hotspur,8600000,15/08/13
2013-2014,Summer,Neil Alexander,NoneEPLChamp,Rangers,Premier,Crystal Palace,Free,15/08/13
