season,transfer_window,player_name,league_moving_from,club_moving_from,league_moving_to,clusb_moving_to,fee,date
2010-2011,Summer,Mario Balotelli,NoneEPLChamp,Internazionale,Premier,Manchester City,24500000,13/08/10
2010-2011,Summer,Robert Koren,Premier,West Bromwich Albion,NoneEPLChamp,Hulll City,Free,13/08/10
2010-2011,Summer,Tom Eaves,NoneEPLChamp,Oldham Athlectic,Premier,Bolton Wanderers,200000,12/08/10
2010-2011,Summer,Christian Poulson ,NoneEPLChamp,Juventus,Premier,Liverpool,4500000,12/08/10
2010-2011,Summer,Ricardo Carvalho,Premier,Chelsea,NoneEPLChamp,Real Madrid,7000000,12/08/10
2010-2011,Summer,Bebe,NoneEPLChamp,Vitoria,Premier,Manchester United,7400000,12/08/10
2010-2011,Summer,Craig Cathcart,Premier,Manchester United,NoneEPLChamp,Blacpool,350000,11/08/10
2010-2011,Summer,Kenwyne Jones,Premier,Sunderland,Premier,Stoke City,8000000,11/08/10
2010-2011,Summer,Malaury Martin,NoneEPLChamp,As Monaco,Premier,Blackpool,Free,11/08/10
2010-2011,Summer,Eliot Grandin,NoneEPLChamp,CSKA Moscow,Premier,Blackpool,Undisclosed,11/08/10
2010-2011,Summer,Ludovic Sylvestre,NoneEPLChamp,Mlada Boleslav,NoneEPLChamp,Blackbpool,Undisclosed,11/08/10
2010-2011,Summer,Scott Sinclair,Premier,Chelsea,NoneEPLChamp,Swansea,500000,09/08/10
2010-2011,Summer,Nicky Shorey,NoneEPLChamp,Aston Vlla,NoneEPLChamp,Wesr Bromwich Albion,1500000,09/08/10
2010-2011,Summer,Deco,Premier,Chelsea,NoneEPLChamp,Fluminense,Free,07/08/10
2010-2011,Summer,Adel Taarabt,Premier,Tottenham Hotspur,Championship,QPR,1000000,05/08/10
2010-2011,Summer,Winston Reid,NoneEPLChamp,Fc Mitdiylland,Premier,West Ham United,3000000,05/08/10
2010-2011,Summer,Marton Fulop,Premier,Sunderland,Championship,Ipswich Town,Undisclosed,05/08/10
2010-2011,Summer,Ivan Klasnic,NoneEPLChamp,Unattached,Premier,Bolton Wanderers,Free,04/08/10
2010-2011,Summer,Fabio Aurelio,NoneEPLChamp,Unattached,Premier,Liverpool,Free,31/07/10
2010-2011,Summer,Boaz Myhill,Championship,Hull City,Premier,West Bromwich Albion,1500000,30/07/10
2010-2011,Summer,Javio Garrido,Premier,Manchester City,NoneEPLChamp,Lazio,2750000,30/07/10
2010-2011,Summer,David James,Championship,Portsmouth,Championship,Bristol City,Free,30/07/10
2010-2011,Summer,Sol Campbell,NoneEPLChamp,Unattached,Premier,Newcastle United,Free,28/07/10
2010-2011,Summer,Tarmo Kink,NoneEPLChamp,Gyori Eto,NoneEPLChamp,Middlesborough,undisclosed,28/07/10
2010-2011,Summer,Ibrahima Sonko,Premier,Stoke City,Championship,Portsmouth,2000000,27/07/10
2010-2011,Summer,Marcos Alonso,NoneEPLChamp,Real Madrid,Premier,Bolton Wanderers,2000000,27/07/10
2010-2011,Summer,Lucas Jutkiewicz,Premier,Everton,Championship,Coventry City,200000,26/07/10
2010-2011,Summer,Thomas Hitzlsperger,NoneEPLChamp,Lazio,NoneEPLChamp,West Ham,Free,25/07/10
2010-2011,Summer,Albert Riera,Premier,Liverpool,NoneEPLChamp,Olympiakos,5000000,24/07/10
2010-2011,Summer,Aleksandar Kolarov,NoneEPLChamp,Lazio,Premier,Manchester City,17000000,24/07/10
2010-2011,Summer,Titus Bramble,Premier,Wigan Athletic,Premier,Sunderland,1000000,23/07/10
2010-2011,Summer,Lee Carsley,NoneEPLChamp,Birmingham,Championship,Coventry City,Free,23/07/10
2010-2011,Summer,Antolin Alcaraz,NoneEPLChamp,Unattached,Premier,Wigan Athletic,Free,22/07/10
2010-2011,Summer,Dan Gosling,NoneEPLChamp,Unattached,Premier,Newcastle United,Free,22/07/10
2010-2011,Summer,Luca Moscatiello,Premier,Fulham,NoneEPLChamp,Cesena,Free,22/07/10
2010-2011,Summer,Danny Wilson,NoneEPLChamp,Rangers,Premier,Liverpool,2000000,21/07/10
2010-2011,Summer,Eduardo,Premier,Arsenal,NoneEPLChamp,Shakhtar Donetsk,6000000,21/07/10
2010-2011,Summer,Joe Cole,NoneEPLChamp,Unattached,Premier,Liverpool,Free,21/07/10
2010-2011,Summer,Daryl Murphy,Premier,Sunderland,NoneEPLChamp,Celtic,1300000,16/07/10
2010-2011,Summer,Pablo Barrera,NoneEPLChamp,UNAM,Premier,West Ham United,4000000,16/07/10
2010-2011,Summer,Kevin Thomson,NoneEPLChamp,Rangers,Championship,Middlesbrough,2000000,16/07/10
2010-2011,Summer,David Gray,Premier,Manchester United,Championship,Preston North End,Free,16/07/10
2010-2011,Summer,Conor Hourihane,Premier,Sunderland,Championship,Ipswich Town,Undisclosed,16/07/10
2010-2011,Summer,Frederic Piquionne,NoneEPLChamp,Lyon,Premier,West Ham United,Undisclosed,16/07/10
2010-2011,Summer,David Silva,NoneEPLChamp,Valencia,Premier,Manchester City,25000000,14/07/10
2010-2011,Summer,Stephen McManus,NoneEPLChamp,Celtic,Championship,Middlesbrough,1500000,13/07/10
2010-2011,Summer,James Harper,Championship,Sheffield United,Championship,Hull City,Free,12/07/10
2010-2011,Summer,Nolberto Solano,Championship,Leicester City,Championship,Hull City,Free,12/07/10
2010-2011,Summer,Miroslav  Stoch,Premier,Chelsea,NoneEPLChamp,Fenerbache,2500000,10/07/10
2010-2011,Summer,Nadir Belhadj,Championship,Portsmouth,NoneEPLChamp,Al Sadd,3500000,09/07/10
2010-2011,Summer,Lloyd Sam,NoneEPLChamp,Unattached,Championship,Leeds United,Signed,09/07/10
2010-2011,Summer,Lorik Cana,Premier,Sunderland,NoneEPLChamp,Galatasaray,5000000,08/07/10
2010-2011,Summer,Milan Jovanovic,NoneEPLChamp,Standard Liege,Premier,Liverpool,Free,08/07/10
2010-2011,Summer,Filip Mentel,Premier,Manchester City,NoneEPLChamp,Dundee United,Free,08/07/10
2010-2011,Summer,Florent Cuvelier,Championship,Portsmouth,Premier,Stoke City,Undisclosed,08/07/10
2010-2011,Summer,Nick Bailey,NoneEPLChamp,Charlton Athletic,Championship,Middlesbrough,1400000,07/07/10
2010-2011,Summer,Laurent Koscielny,NoneEPLChamp,Lorient,Premier,Arsenal,10000000,07/07/10
2010-2011,Summer,Leonard Sowah,Championship,Portsmouth,NoneEPLChamp,Hamburg SV,Free,07/07/10
2010-2011,Summer,Neill Collins,Championship,Preston North End,Championship,Leeds United,Undisclosed,07/07/10
2010-2011,Summer,Andy Haworth,Premier,Blackburn Rovers,NoneEPLChamp,Bury,Free,06/07/10
2010-2011,Summer,James Perch,Championship,Nottingham Forest,Premier,Newcastle United,1000000,05/07/10
2010-2011,Summer,Kris Boyd,NoneEPLChamp,Unattached,Championship,Middlesbrough,Free,05/07/10
2010-2011,Summer,John Ruddy,Premier,Everton,Championship,Norwich City,Undisclosed,05/07/10
2010-2011,Summer,Valeri Bojinov,Premier,Manchester City,NoneEPLChamp,Parma,5000000,04/07/10
2010-2011,Summer,Yossi Benayoun,Premier,Liverpool,Premier,Chelsea,5000000,02/07/10
2010-2011,Summer,Yaya Toure,NoneEPLChamp,Barcelona,Premier,Manchester City,24000000,02/07/10
2010-2011,Summer,Steve Simonsen,Premier,Stoke City,Championship,Sheffield United,Free,02/07/10
2010-2011,Summer,Ben Burgess,Premier,Blackpool,NoneEPLChamp,Notts County,Free,02/07/10
2010-2011,Summer,Alex Henshall ,NoneEPLChamp,Swindon Town,Premier,Manchester City,250000,01/07/10
2010-2011,Summer,Marnick Vermijl ,NoneEPLChamp,Standard Leige,Premier,Manchester United,300000,01/07/10
2010-2011,Summer,Jason Shackell ,Premier,Wolverhampton Wanderers,Championship,Barnsley,300000,01/07/10
2010-2011,Summer,Joao Silva ,NoneEPLChamp,Desportivo Aves,Premier,Everton,500000,01/07/10
2010-2011,Summer,Chris Iwelumo ,Premier,Wolverhampton Wanderers,Championship,Burnley,500000,01/07/10
2010-2011,Summer,Dean Marney,Championship,Hull City,Championship,Burnley,500000,01/07/10
2010-2011,Summer,Dean Marney,Championship,Hull City,Championship,Burnley,500000,01/07/10
2010-2011,Summer,Kyle Ebecillo,NoneEPLChamp,Feyenoord,Premier,Arsenal,500000,01/07/10
2010-2011,Summer,Magaye Guaye,NoneEPLChamp,Strasbourg,Premier,Everton,1000000,01/07/10
2010-2011,Summer,Jonjo Shelvey ,NoneEPLChamp,Charlton Athletic,Premier,Liverpool,1700000,01/07/10
2010-2011,Summer,Simon Mignolet ,NoneEPLChamp,Sint-Truiden,Premier,Sunderland,2000000,01/07/10
2010-2011,Summer,Steven Mouyokolo ,Championship,Hull City,NoneEPLChamp,Wolves,2500000,01/07/10
2010-2011,Summer,Jelle van Damme ,NoneEPLChamp,Anderlect,NoneEPLChamp,Wolves,2500000,01/07/10
2010-2011,Summer,Steven Mouyokolo,Championship,Hull City,Premier,Wolverhampton Wanderers,2500000,01/07/10
2010-2011,Summer,Stephen Hunt ,Championship,Hull City,NoneEPLChamp,Wolves,3000000,01/07/10
2010-2011,Summer,Stephen Hunt,Championship,Hull City,Premier,Wolverhampton Wanderers,3000000,01/07/10
2010-2011,Summer,Sandro Raniere,NoneEPLChamp,Internacional,Premier,Tottenham Hotspur,6000000,01/07/10
2010-2011,Summer,Javier Hernandez Balcazar,NoneEPLChamp,Guadalajara,Premier,Manchester United,6000000,01/07/10
2010-2011,Summer,Ben Foster,Premier,Manchester United,NoneEPLChamp,Bermingham City,6000000,01/07/10
2010-2011,Summer,Steven Fletcher ,Championship,Burnley,NoneEPLChamp,Wolves,6500000,01/07/10
2010-2011,Summer,Stephen Fletcher,Championship,Burnley,Premier,Wolverhampton wanderers,6500000,01/07/10
2010-2011,Summer,Mauro Boselli,NoneEPLChamp,Estudiantes LP,NoneEPLChamp,Wigan,6500000,01/07/10
2010-2011,Summer,Zoran Tosic,Premier,Manchester United,NoneEPLChamp,CSKA  Moscow,7000000,01/07/10
2010-2011,Summer,Chris Smalling,Premier,Fulham,Premier,Manchester United,10000000,01/07/10
2010-2011,Summer,Jerome Boateng,NoneEPLChamp,Hamburg SV,Premier,Manchester City,11000000,01/07/10
2010-2011,Summer,Luke Ayling,Premier,Arsenal,NoneEPLChamp,Yeovil Town,Free,01/07/10
2010-2011,Summer,Antolin Alcaraz,NoneEPLChamp,Club Brugge,NoneEPLChamp,Wigan,Free,01/07/10
2010-2011,Summer,Thomas Hitzlsperger,NoneEPLChamp,Lazio,NoneEPLChamp,West Ham,Free,01/07/10
2010-2011,Summer,Steven Reid,Premier,Blackburn Rovers,Premier,West Bromwich Albion,Free,01/07/10
2010-2011,Summer,Pablo Ibanez,NoneEPLChamp,Atletico Madrid,Premier,West Bromwich Albion,Free,01/07/10
2010-2011,Summer,Mario Melchiot,Premier,Wigan Athletic,NoneEPLChamp,Umim Salil,Free,01/07/10
2010-2011,Summer,Cristian Riveros,NoneEPLChamp,Cruz Azul,Premier,Sunderland,Free,01/07/10
2010-2011,Summer,Daniel Jones,Premier,Wolverhampton Wanderers,NoneEPLChamp,Sheffield Wednesday,Free,01/07/10
2010-2011,Summer,Christian Benetiz,NoneEPLChamp,Birmingham,NoneEPLChamp,Santos Laguna,Free,01/07/10
2010-2011,Summer,Marcus Marshall ,Premier,Blackburn Rovers,NoneEPLChamp,Rotherham,Free,01/07/10
2010-2011,Summer,Bondz N'Gala,NoneEPLChamp,West Ham,NoneEPLChamp,Plymouth Argyle,Free,01/07/10
2010-2011,Summer,Nathaniel Mendez-Laing,Premier,Wolverhampton Wanderers,NoneEPLChamp,Peterborough United,Free,01/07/10
2010-2011,Summer,Mark Little ,Premier,Wolverhampton Wanderers,NoneEPLChamp,Peterborough United,Free,01/07/10
2010-2011,Summer,Seth Ofori-Twumasi,Premier,Chelsea,NoneEPLChamp,Peterborough United,Free,01/07/10
2010-2011,Summer,Nathaniel Wedderburn,Premier,Stoke City,NoneEPLChamp,Northampton Town,Free,01/07/10
2010-2011,Summer,David Martin,Premier,Liverpool,NoneEPLChamp,Milton Keynes Dons,Free,01/07/10
2010-2011,Summer,Lee Butcher,Premier,Tottenham Hotspur,NoneEPLChamp,Leyton Orient,Free,01/07/10
2010-2011,Summer,Billy Paynter,NoneEPLChamp,Swindon Town,Championship,Leeds United,Free,01/07/10
2010-2011,Summer,Paul Connolly,Championship,Derby County,Championship,Leeds United,Free,01/07/10
2010-2011,Summer,Joey K Gudjonsson,Championship,Burnley,NoneEPLChamp,Huddersfield Town,Free,01/07/10
2010-2011,Summer,Ron-Robert Zieler,Premier,Manchester United,NoneEPLChamp,Hannover 96,Free,01/07/10
2010-2011,Summer,Phillip Senderos,Premier,Arsenal,Premier,Fulham,Free,01/07/10
2010-2011,Summer,Jan Mucha,NoneEPLChamp,Legia Warsaw,Premier,Everton,Free,01/07/10
2010-2011,Summer,Jermaine Beckford ,NoneEPLChamp,Leeds,Premier,Everton,Free,01/07/10
