Season,Player_Name,League_Moving_From,Club_Moving_From,League_Moving_To,Club_Moving_To,Fee,Date
2013-2014,Abdul Razak,Premier,Manchester City,NoneEPLChamp,Anzhi Makhachkala,Undisclosed,01/01/14
2013-2014,Rudy Gestede,Premier,Cardiff City,Championship,Blackburn Rovers,Undisclosed,01/01/14
2013-2014,Tom Cairney,Premier,Hull City,Championship,Blackburn Rovers,500000,01/01/14
2013-2014,Simon Dawkins,Premier,Tottenham Hotspur,Championship,Derby County,500000,01/01/14
2013-2014,Liam Ridehalgh,Championship,Huddersfield Town,NoneEPLChamp,Tranmere Rovers,Undisclosed,01/01/14
2013-2014,Adam Morgan,Premier,Liverpool,Championship,Yeovil Town,Free,01/01/14
2013-2014,Karleigh Osborne,Championship,Millwall,NoneEPLChamp,Bristol City,Undisclosed,02/01/14
2013-2014,George Barker,Championship,Brighton & Hove Albion,NoneEPLChamp,Swindon Town,Undisclosed,02/01/14
2013-2014,Lee Camp,Premier,West Bromwich Albion,NoneEPLChamp,AFC Bournemouth,Free,03/01/14
2013-2014,Magnus Eikrem,NoneEPLChamp,Heerenveen,Premier,Cardiff City,2000000,03/01/14
2013-2014,Michael Jacobs,Championship,Derby County,NoneEPLChamp,Wolverhampton Wanderers,300000,03/01/14
2013-2014,Jason Banton,Premier,Crystal Palace,NoneEPLChamp,Plymouth Argyle,Undisclosed,04/01/14
2013-2014,Abdoulaye Meite,NoneEPLChamp,Unattached,Championship,Doncaster Rovers,Free,07/01/14
2013-2014,Scott Wiseman,Championship,Barnsley,NoneEPLChamp,Preston North End,Free,07/01/14
2013-2014,Nahki Wells,NoneEPLChamp,Bradford City,Championship,Huddersfield Town,1500000,08/01/14
2013-2014,Gary Fraser,Championship,Bolton Wanderers,NoneEPLChamp,Partick Thistle,Free,08/01/14
2013-2014,Patrick Madden,Championship,Yeovil Town,NoneEPLChamp,Scunthorpe United,300000,08/01/14
2013-2014,Dave Syers,Championship,Doncaster Rovers,NoneEPLChamp,Scunthorpe United,50000,09/01/14
2013-2014,Ashley Barnes,Championship,Brighton & Hove Albion,Championship,Burnley,750000,10/01/14
2013-2014,Robbie McIntyre,Championship,Huddersfield Town,NoneEPLChamp,Bury,Free,10/01/14
2013-2014,Mats Daehli,NoneEPLChamp,Molde,Premier,Cardiff City,1000000,10/01/14
2013-2014,Aiden McGeady,NoneEPLChamp,Spartak Moscow,Premier,Everton,2500000,10/01/14
2013-2014,Riyad Mahrez,NoneEPLChamp,Le Havre AC,Championship,Leicester City,750000,10/01/14
2013-2014,Oguchi Onyewu,NoneEPLChamp,Unattached,Championship,Sheffield Wednesday,Free,10/01/14
2013-2014,Brian Howard,NoneEPLChamp,Unattached,Championship,Birmingham City,Free,11/01/14
2013-2014,Jeffrey Monakana,NoneEPLChamp,Preston North End,Championship,Brighton & Hove Albion,Undisclosed,11/01/14
2013-2014,Wesley Thomas,NoneEPLChamp,AFC Bournemouth,NoneEPLChamp,Rotherham United,Undisclosed,11/01/14
2013-2014,Stephen Ireland,Premier,Aston Villa,Premier,Stoke City,Free,11/01/14
2013-2014,Nouha Dicko,Championship,Wigan Athletic,NoneEPLChamp,Wolverhampton Wanderers,300000,11/01/14
2013-2014,Daniel Seaborne,Championship,Yeovil Town,NoneEPLChamp,Coventry City,Free,13/01/14
2013-2014,Nemanja Matic,NoneEPLChamp,Benfica,Premier,Chelsea,20750000,14/01/14
2013-2014,Joe Lolley,NoneEPLChamp,Kidderminster Harriers,Championship,Huddersfield Town,250000,14/01/14
2013-2014,Nikica Jelavic,Premier,Everton,Premier,Hull City,6500000,14/01/14
2013-2014,Kevin Phillips,NoneEPLChamp,Unattached,Championship,Leicester City,Free,14/01/14
2013-2014,Wes Fogden,NoneEPLChamp,AFC Bournemouth,NoneEPLChamp,Portsmouth,Free,14/01/14
2013-2014,Liam Lawrence,NoneEPLChamp,Unattached,Championship,Barnsley,Free,15/01/14
2013-2014,Aaron Mclean,Premier,Hull City,NoneEPLChamp,Bradford City,Undisclosed,15/01/14
2013-2014,Jim McNulty,Championship,Barnsley,NoneEPLChamp,Bury,Free,15/01/14
2013-2014,Gabriel Tamas,NoneEPLChamp,Unattached,Championship,Doncaster Rovers,Free,15/01/14
2013-2014,Ji Dong-Won,Premier,Sunderland,NoneEPLChamp,FC Augsburg,Undisclosed,15/01/14
2013-2014,David Perkins,Championship,Barnsley,Championship,Blackpool,Free,16/01/14
2013-2014,Shane Long,Premier,West Bromwich Albion,Premier,Hull City,7000000,16/01/14
2013-2014,Matthew Parsons,Premier,Crystal Palace,NoneEPLChamp,Plymouth Argyle,Undisclosed,16/01/14
2013-2014,Sam Walker,Premier,Chelsea,NoneEPLChamp,Colchester United,Undisclosed,17/01/14
2013-2014,Sondre Tronstad,NoneEPLChamp,IK Start,Championship,Huddersfield Town,Free,17/01/14
2013-2014,Harry Bunn,Premier,Manchester City,Championship,Huddersfield Town,Free,17/01/14
2013-2014,Juan Agudelo,NoneEPLChamp,Chivas USA,Premier,Stoke City,Undisclosed,17/01/14
2013-2014,Kevin De Bruyne,Premier,Chelsea,NoneEPLChamp,VfL Wolfsburg,17000000,17/01/14
2013-2014,Jason Scotland,Championship,Barnsley,NoneEPLChamp,Hamilton Academical,Free,18/01/14
2013-2014,Elliot Kebbie,NoneEPLChamp,Unattached,Premier,Hull City,Free,20/01/14
2013-2014,Anthony Jeffrey,Premier,Arsenal,NoneEPLChamp,Wycombe Wanderers,Free,20/01/14
2013-2014,Michael Smith,NoneEPLChamp,Swindon Town,Championship,Charlton Athletic,100000,21/01/14
2013-2014,Kelle Roos,NoneEPLChamp,Nuneaton Town,Championship,Derby County,30000,21/01/14
2013-2014,Fabio Nunes,Championship,Blackburn Rovers,NoneEPLChamp,Latina,Free,22/01/14
2013-2014,Jo Inge Berget,NoneEPLChamp,Molde,Premier,Cardiff City,Undisclosed,23/01/14
2013-2014,Edinho Junior,Championship,Blackburn Rovers,NoneEPLChamp,Harrisburg City Islanders,Free,23/01/14
2013-2014,Daniel Ayala,Premier,Norwich City,Championship,Middlesbrough,700000,23/01/14
2013-2014,Steven Scougall,NoneEPLChamp,Livingston,NoneEPLChamp,Sheffield United,Undisclosed,23/01/14
2013-2014,Juan Mata,Premier,Chelsea,Premier,Manchester United,37100000,25/01/14
2013-2014,Mohamed Salah,NoneEPLChamp,FC Basel,Premier,Chelsea,11000000,26/01/14
2013-2014,Michael Essien,Premier,Chelsea,NoneEPLChamp,AC Milan,Free,27/01/14
2013-2014,Nicholas Yennaris,Premier,Arsenal,NoneEPLChamp,Brentford,Undisclosed,27/01/14
2013-2014,David Ngog,Championship,Bolton Wanderers,Premier,Swansea City,Undisclosed,27/01/14
2013-2014,Adam Smith,Premier,Tottenham Hotspur,NoneEPLChamp,AFC Bournemouth,250000,28/01/14
2013-2014,Kenwyne Jones,Premier,Stoke City,Premier,Cardiff City,Swap,28/01/14
2013-2014,Pelly Ruddock,Premier,West Ham United,NoneEPLChamp,Luton Town,Undisclosed,28/01/14
2013-2014,Peter Odemwingie,Premier,Cardiff City,Premier,Stoke City,Swap,28/01/14
2013-2014,Adam King,NoneEPLChamp,Heart of Midlothian,Premier,Swansea City,150000,28/01/14
2013-2014,Germaine Defoe,Premier,Tottenham Hotspur,NoneEPLChamp,Vancouver,6000000,28/01/14
2013-2014,Josh OHanlon,NoneEPLChamp,Longford Town,NoneEPLChamp,AFC Bournemouth,Undisclosed,29/01/14
2013-2014,Loic Nego,NoneEPLChamp,Ujpest,Championship,Charlton Athletic,Undisclosed,29/01/14
2013-2014,Rafik Djebbour,NoneEPLChamp,Olympiakos,Championship,Nottingham Forest,1200000,29/01/14
2013-2014,Yohan Cabaye,Premier,Newcastle United,NoneEPLChamp,Paris Saint-Germain,20000000,29/01/14
2013-2014,Aaron Martin,NoneEPLChamp,Unattached,Championship,Birmingham City,Free,30/01/14
2013-2014,Reza Ghoochannejhad,NoneEPLChamp,Standard Liege,Championship,Charlton Athletic,Undisclosed,30/01/14
2013-2014,Ignacio Scocco,NoneEPLChamp,Internacional,Premier,Sunderland,3000000,30/01/14
2013-2014,Raheem Hanley,NoneEPLChamp,Unattached,Premier,Swansea City,Free,30/01/14
2013-2014,Abdul Razak,NoneEPLChamp,Anzhi Makhachkala,Premier,West Ham United,Free,30/01/14
2013-2014,Yann Kermorgant,Championship,Charlton Athletic,NoneEPLChamp,AFC Bournemouth,500000,31/01/14
2013-2014,Ben Whitfield,NoneEPLChamp,Guiseley,NoneEPLChamp,AFC Bournemouth,Free,31/01/14
2013-2014,Martin Woods,NoneEPLChamp,Unattached,Championship,Barnsley,Free,31/01/14
2013-2014,Craig Conway,Premier,Cardiff City,Championship,Blackburn Rovers,Undisclosed,31/01/14
2013-2014,Faris Haroun,Championship,Middlesbrough,Championship,Blackpool,Free,31/01/14
2013-2014,Yannick Bastos,NoneEPLChamp,FC Differdange,Championship,Bolton Wanderers,Undisclosed,31/01/14
2013-2014,James Tarkowski,NoneEPLChamp,Oldham Athletic,NoneEPLChamp,Brentford,400000,31/01/14
2013-2014,David Rodriguez,NoneEPLChamp,Celta Vigo,Championship,Brighton & Hove Albion,Free,31/01/14
2013-2014,Fabio,Premier,Manchester United,Premier,Cardiff City,Minimal,31/01/14
2013-2014,Leigh Griffiths,NoneEPLChamp,Wolverhampton Wanderers,NoneEPLChamp,Celtic,1000000,31/01/14
2013-2014,Emmanuel Frimpong,Premier,Arsenal,Championship,Charlton Athletic,Undisclosed,31/01/14
2013-2014,Piotr Parzyszek,NoneEPLChamp,De Graafschap,Championship,Charlton Athletic,Undisclosed,31/01/14
2013-2014,Kurt Zouma,NoneEPLChamp,St Etienne,Premier,Chelsea,12500000,31/01/14
2013-2014,Scott Dann,Championship,Blackburn Rovers,Premier,Crystal Palace,1500000,31/01/14
2013-2014,Joe Ledley,NoneEPLChamp,Celtic,Premier,Crystal Palace,700000,31/01/14
2013-2014,Jason Puncheon,Premier,Southampton,Premier,Crystal Palace,1750000,31/01/14
2013-2014,Wayne Hennessey,NoneEPLChamp,Wolverhampton Wanderers,Premier,Crystal Palace,1750000,31/01/14
2013-2014,Jindrich Stanek,NoneEPLChamp,Sparta Prague,Premier,Everton,Undisclosed,31/01/14
2013-2014,Andreas Cornelius,Premier,Cardiff City,NoneEPLChamp,FC Copenhagen,3000000,31/01/14
2013-2014,John Heitinga,Premier,Everton,Premier,Fulham,Free,31/01/14
2013-2014,Kostas Mitroglou,NoneEPLChamp,Olympiakos,Premier,Fulham,12400000,31/01/14
2013-2014,Marvyn Bartley,Championship,Burnley,NoneEPLChamp,Leyton Orient,350000,31/01/14
2013-2014,Ben Alnwick,Championship,Charlton Athletic,NoneEPLChamp,Leyton Orient,Undisclosed,31/01/14
2013-2014,Edward Upson,Championship,Yeovil Town,Championship,Millwall,100000,31/01/14
2013-2014,Jack Hobbs,Premier,Hull City,Championship,Nottingham Forest,600000,31/01/14
2013-2014,George Porter,Championship,Burnley,NoneEPLChamp,Rochdale,Free,31/01/14
2013-2014,Liam Bridcutt,Championship,Brighton & Hove Albion,Premier,Sunderland,3000000,31/01/14
2013-2014,Jay Fulton,NoneEPLChamp,Falkirk,Premier,Swansea City,200000,31/01/14
2013-2014,Philippe Senderos,Premier,Fulham,NoneEPLChamp,Valencia,Undisclosed,31/01/14
2013-2014,Dave Richards,Premier,Cardiff City,NoneEPLChamp,Bristol City,Undisclosed,31/01/14
2013-2014,James Burke,Championship,Huddersfield Town,NoneEPLChamp,Bury,Free,31/01/14
2013-2014,Bertrand Traore,NoneEPLChamp,Association Jeunes Espoirs De Bobo-Dioulasso,Premier,Chelsea,Free,31/01/14
2013-2014,Jaanai Gordon,NoneEPLChamp,Peterborough United,Premier,West Ham United,3500000,31/01/14
2013-2014,James Henry,Championship,Millwall,NoneEPLChamp,Wolverhampton Wanderers,250000,31/01/14
2013-2014,Isaiah Brown,NoneEPLChamp,WBA,Premier,Chelsea,209000,08/07/13
2013-2014,Nathan Tyson,Championship,Derby County,Championship,Blackpool,Free,02/09/13
2013-2014,Stephane Sessegnon,Premier,Sunderland,NoneEPLChamp,WBA,6000000,02/09/13
2013-2014,Kei Kamara,NoneEPLChamp,Kansas City,Championship,Middlesbrough,900000,02/09/13
2013-2014,Jacob Butterfield,Premier,Norwich City,Championship,Middlesbrough,Undisclosed,02/09/13
2013-2014,Massimo Luongo,Premier,Tottenham Hotspur,NoneEPLChamp,Swindon,400000,02/09/13
2013-2014,James Mc Carthy,NoneEPLChamp,Wigan,Premier,Everton,13000000,02/09/13
2013-2014,Victor Anichbe,Premier,Everton,NoneEPLChamp,WBA,6000000,02/09/13
2013-2014,Elsad Zverotic,NoneEPLChamp,Young Boys,Premier,Fulham,Undisclosed,02/09/13
2013-2014,Marouane Fellaini,Premier,Everton,Premier,Manchester United,27500000,02/09/13
2013-2014,Mesut  Ozil,NoneEPLChamp,Real Madrid,Premier,Arsenal,42500000,02/09/13
2013-2014,Adrian Mariappa,Championship,Reading,Premier,Crystal Palace,3000000,02/09/13
2013-2014,Barry Bannan,Premier,Aston Villa,Premier,Crystal Palace,2000000,02/09/13
2013-2014,Libor Kozak,NoneEPLChamp,Lazio,Premier,Aston Villa,5000000,02/09/13
2013-2014,Paul Caddis,NoneEPLChamp,Swindon Town,Championship,Birmingham City,150000,02/09/13
2013-2014,Peter Odemwingie,Premier,West Bromwich Albion,Premier,Cardiff City,2500000,02/09/13
2013-2014,Brian Jensen,Championship,Burnley,NoneEPLChamp,Bury,Free,02/09/13
2013-2014,Florent Cuvelier,Premier,Stoke City,NoneEPLChamp,Sheffield United,Undisclosed,02/09/13
2013-2014,Jack Hunt,Championship,Huddersfield Town,Premier,Crystal Palace,2000000,02/09/13
2013-2014,Dani Pacheco,Premier,Liverpool,NoneEPLChamp,AD Alcorcon,Free,02/09/13
2013-2014,Dany N'Guessan,Championship,Millwall,NoneEPLChamp,Swindon Town,Free,02/09/13
2013-2014,Lee Camp,Premier,Norwich City,Premier,West Bromwich Albion,Free,02/09/13
2013-2014,Mamadou Sakho,NoneEPLChamp,Paris Saint-Germain ,Premier,Liverpool,18000000,02/09/13
2013-2014,Marko Arnautovic,NoneEPLChamp,Werder Bremen,Premier,Stoke City,2000000,02/09/13
2013-2014,Tiago Ilori,NoneEPLChamp,Sporting Lisbon,Premier,Liverpool,7000000,02/09/13
2013-2014,Christian Atsu,NoneEPLChamp,FC Porto,Premier,Chelsea,3500000,01/09/13
2013-2014,Gareth Bale,Premier,Tottenham Hotspur,NoneEPLChamp,Real Madrid,85300000,01/09/13
2013-2014,Jimmy Kebe,Championship,Reading,Premier,Crystal Palace,750000,01/09/13
2013-2014,Martin Demichelis,NoneEPLChamp,Atletico Madrid,Premier,Manchester City,3500000,01/09/13
2013-2014,Kevin Theopile Catherine,NoneEPLChamp,Stade Rennes,Premier,Cardiff City,2100000,30/08/13
2013-2014,Gael Givet,Championship,Blackburn Rovers,NoneEPLChamp,Arles,Free,30/08/13
2013-2014,Maximiliano Amondarain,NoneEPLChamp,Progreso,Premier,Cardiff City,Free,30/08/13
2013-2014,Dean Hammond,Premier,Southampton,Championship,Leicester City,Undisclosed,30/08/13
2013-2014,Christian Eriksen,NoneEPLChamp,Ajax Amsterdam,Premier,Tottenham Hotspur,11000000,30/08/13
2013-2014,Erik Lamela,NoneEPLChamp,AS Roma,Premier,Tottenham Hotspur,25800000,30/08/13
2013-2014,Vlad Chiriches,NoneEPLChamp,FC Steaua Bucharest,Premier,Tottenham Hotspur,8500000,30/08/13
2013-2014,Scott Golbourne,Championship,Barnsley,NoneEPLChamp,Wolverhampton Wanderers,700000,30/08/13
2013-2014,Samuel Eto'o,NoneEPLChamp,Anzhi Makhachkala,Premier,Chelsea,Free,29/08/13
2013-2014,Mathieu Flamini,NoneEPLChamp,AC Milan,Premier,Arsenal,Free,29/08/13
2013-2014,Morten Gamst Pedersen,Championship,Blackburn Rovers,NoneEPLChamp,Karabukspor,Free,29/08/13
2013-2014,Willian,NoneEPLChamp,Anzhi Makhachkala,Premier,Chelsea,30000000,28/08/13
2013-2014,Tokelo Rantie,NoneEPLChamp,Malmo FF,NoneEPLChamp,AFC Bournemouth,2600000,28/08/13
2013-2014,Dwight Tiendalli,NoneEPLChamp,Unattached,Premier,Swansea City,Free,28/08/13
2013-2014,Ben Wilson,Premier,Sunderland,NoneEPLChamp,Accrington Stanley,Free,27/08/13
2013-2014,Luke Moore,Premier,Swansea City,NoneEPLChamp,Elazipspor,Free,24/08/13
2013-2014,Matthew Phillips,Championship,Blackpool,Championship,QPR,5000000,23/08/13
2013-2014,Brad Inman,Premier,Newcastle United,NoneEPLChamp,Crewe Alexandra,100000,22/08/13
2013-2014,Charalampos Mavrias,NoneEPLChamp,Panathinaikos,Premier,Sunderland,2500000,22/08/13
2013-2014,Denis Suarez,Premier,Manchester City,NoneEPLChamp,Barcelona,1000000,22/08/13
2013-2014,Patrick McCourt,NoneEPLChamp,Unattached,Championship,Barnsley,Free,22/08/13
2013-2014,Scott Wootton,Premier,Manchester United,Championship,Leeds United,1000000,20/08/13
2013-2014,Jordan Adekunle,NoneEPLChamp,Unattached,Championship,Ipswich Town,Free,20/08/13
2013-2014,Scott Parker,Premier,Tottenham Hotspur,Premier,Fulham,2000000,18/08/13
2013-2014,Pablo Daniel Osvaldo,NoneEPLChamp,AS Roma,Premier,Southampton,15000000,18/08/13
2013-2014,Aaron Tumwa,Championship,Watford,Championship,Blackburn Rovers,Free,18/08/13
2013-2014,Chris Dunn,NoneEPLChamp,Unattached,Championship,Yeovil Town,Free,17/08/13
2013-2014,Florian Marange,NoneEPLChamp,Unattached,Premier,Crystal Palace,Free,16/08/13
2013-2014,Etienne Capoue,NoneEPLChamp,Toulouse,Premier,Tottenham Hotspur,8600000,15/08/13
2013-2014,Neil Alexander,NoneEPLChamp,Rangers,Premier,Crystal Palace,Free,15/08/13
2013-2014,Tom Huddlestone,Premier,Tottenham Hotspur,Premier,Hull City,5250000,14/08/13
2013-2014,Stewart Downing,Premier,Liverpool,Premier,West Ham United,6000000,13/08/13
2013-2014,Marouane Chamakh,Premier,Arsenal,Premier,Crystal Palace,Signed,12/08/13
2013-2014,Khalil Lambin,NoneEPLChamp,Unattached,Championship,Sheffield Wednesday,Signed,12/08/13
2013-2014,Jay Spearing,Premier,Liverpool,Championship,Bolton Wanderers,2000000,09/08/13
2013-2014,Kelvin Wilson,NoneEPLChamp,Celtic,Championship,Nottingham Forest,2500000,09/08/13
2013-2014,Albert Adomah,NoneEPLChamp,Bristol City,Championship,Middlesbrough,1000000,08/08/13
2013-2014,Gervinho,Premier,Arsenal,NoneEPLChamp,AS Roma,8000000,08/08/13
2013-2014,James McClean,Premier,Sunderland,Championship,Wigan Athletic,2000000,08/08/13
2013-2014,Andy Marshall,NoneEPLChamp,Unattached,Championship,Millwall,Free,08/08/13
2013-2014,Gary O'Neil,NoneEPLChamp,Unattached,Championship,QPR,Free,07/08/13
2013-2014,Rafael Floro,NoneEPLChamp,Unattached,Championship,Sheffield Wednesday,Free,06/08/13
2013-2014,Roberto Soldado,NoneEPLChamp,Valencia,Premier,Tottenham Hotspur,25800000,05/08/13
2013-2014,Loic Remy,Championship,QPR,Premier,Newcastle United,2000000,05/08/13
2013-2014,Yann Songo'o,NoneEPLChamp,Unattached,Championship,Blackburn Rovers,Free,05/08/13
2013-2014,Clint Dempsey,Premier,Tottenham Hotspur,NoneEPLChamp,Seattle Sounders FC,5800000,03/08/13
2013-2014,Corry Evans,Premier,Hull City,Championship,Blackburn Rovers,750000,02/08/13
2013-2014,Birger Solberg Meling,NoneEPLChamp,Unattached,Championship,Middlesbrough,Free,02/08/13
2013-2014,Bradley Halliday,NoneEPLChamp,Unattached,Championship,Middlesbrough,Free,02/08/13
2013-2014,Diego Lugano,NoneEPLChamp,Paris Saint-Germain,Premier,West Bromwich Albion,Free,02/08/13
2013-2014,Elliot Grandin,NoneEPLChamp,Unattached,Premier,Crystal Palace,Free,02/08/13
2013-2014,Frazer Richardson,NoneEPLChamp,Unattached,Championship,Middlesbrough,Free,02/08/13
2013-2014,Kamil Zayatte,NoneEPLChamp,Istanbul BB,Championship,Sheffield Wednesday,Free,02/08/13
2013-2014,Neal Bishop,NoneEPLChamp,Unattached,Championship,Blackpool,Free,02/08/13
2013-2014,Richard Wellens,NoneEPLChamp,Unattached,Championship,Doncaster Rovers,Free,02/08/13
2013-2014,Charlie Austin,Championship,Burnley,Championship,QPR,4000000,01/08/13
2013-2014,Leon Barnett,Premier,Norwich City,Championship,Wigan Athletic,500000,01/08/13
2013-2014,Andre Moritz,NoneEPLChamp,Unattached,Championship,Bolton Wanderers,Free,01/08/13
2013-2014,David Jones,NoneEPLChamp,Unattached,Championship,Burnley,Free,01/08/13
2013-2014,Kemy Agustien,Premier,Swansea City,Championship,Brighton & Hove Albion,Free,01/08/13
2013-2014,Louis Tomlinson,NoneEPLChamp,Unattached,Championship,Doncaster Rovers,Free,01/08/13
2013-2014,Simon Church,NoneEPLChamp,Unattached,Championship,Charlton Athletic,Free,01/08/13
2013-2014,Tommy Spurr,NoneEPLChamp,Unattached,Championship,Blackburn Rovers,Free,01/08/13
2013-2014,Britt Assombalonga,Championship,Watford,NoneEPLChamp,Peterborough United,1250000,31/07/13
2013-2014,Steven Caulker,Premier,Tottenham Hotspur,Premier,Cardiff City,8000000,31/07/13
2013-2014,Harry Forrester,NoneEPLChamp,Unattached,Championship,Doncaster Rovers,Free,31/07/13
2013-2014,Ross Turnbull,NoneEPLChamp,Unattached,Championship,Doncaster Rovers,Free,31/07/13
2013-2014,David Button,Championship,Charlton Athletic,NoneEPLChamp,Brentford,Undisclosed,30/07/13
2013-2014,Jonathan Hogg,Championship,Watford,Championship,Huddersfield Town,Undisclosed,30/07/13
2013-2014,Cristian Lopez,NoneEPLChamp,Unattached,Championship,Huddersfield Town,Free,30/07/13
2013-2014,Seth Ofori-Twumasi,NoneEPLChamp,Unattached,Championship,Yeovil Town,Free,30/07/13
2013-2014,Simon Moore,NoneEPLChamp,Brentford,Premier,Cardiff City,Undisclosed,30/07/13
2013-2014,Jamie Mackie,Championship,QPR,Championship,Nottingham Forest,1000000,27/07/13
2013-2014,Ryan Harley,NoneEPLChamp,Brighton An Hove Albion,NoneEPLChamp,Swindon Town,Free,26/07/13
2013-2014,Gary Hooper,NoneEPLChamp,Celtic,Premier,Norwich City,6000000,26/07/13
2013-2014,John Brayford,Championship,Derby County,Premier,Cardiff City,1500000,26/07/13
2013-2014,Nacer Chadli,NoneEPLChamp,Twente Enschede,Premier,Tottenham Hotspur,7000000,26/07/13
2013-2014,Steve Davies,NoneEPLChamp,Bristol City,Championship,Blackpool,500000,26/07/13
2013-2014,Juan Carlos Garcia,NoneEPLChamp,Olimpia,Championship,Wigan Athletic,Free,26/07/13
2013-2014,Djamel Abdoun,NoneEPLChamp,Olympiakos,Championship,Nottingham Forest,1500000,25/07/13
2013-2014,Atdhe Nuhiu,NoneEPLChamp,Rapid Vienna,Championship,Sheffield Wednesday,Free,25/07/13
2013-2014,Michael Chopra,Championship,Ipswich Town,Championship,Blackpool,Free,25/07/13
2013-2014,Ange Freddy Plumain,NoneEPLChamp,Lens,Premier,Fulham,Free,25/07/13
2013-2014,John Eustace,NoneEPLChamp,Unattached,Championship,Derby County,Free,24/07/13
2013-2014,Jack Doherty,NoneEPLChamp,Waterford United,Championship,Ipswich Town,60000,24/07/13
2013-2014,Santos Iriney,NoneEPLChamp,Granada,Championship,Watford,Signed,24/07/13
2013-2014,Joel Ekstrand,NoneEPLChamp,Udinese,Championship,Watford,Signed,24/07/13
2013-2014,Jean Yves Mvoto Owono,NoneEPLChamp,Unattached,Championship,Barnsley,Free,23/07/13
2013-2014,Cristian Cuevas,NoneEPLChamp,O'Higgins,Premier,Chelsea,1700000,23/07/13
2013-2014,Scott McDonald,Championship,Middlesbrough,Championship,Millwall,Free,23/07/13
2013-2014,Karl Henry,NoneEPLChamp,Wolverhampton Wanderers,Championship,QPR,1000000,23/07/13
2013-2014,Zoumana Bakayogo,NoneEPLChamp,Unattached,Championship,Leicester City,Free,22/07/13
2013-2014,Nick Bailey,NoneEPLChamp,Unattached,Championship,Millwall,Free,22/07/13
2013-2014,Iketchi Anya,NoneEPLChamp,Granada,Championship,Watford,Signed,22/07/13
2013-2014,Reece Brown,NoneEPLChamp,Unattached,Championship,Watford,Free,22/07/13
